(epoch: 46, iters: 500, time: 5.198, data: 2.871) D_A: 0.259 G_A: 0.284 cycle_A: 0.173 idt_A: 0.073 D_B: 0.196 G_B: 0.211 cycle_B: 0.196 idt_B: 0.072 
(epoch: 47, iters: 500, time: 5.242, data: 24.303) D_A: 0.263 G_A: 0.453 cycle_A: 0.204 idt_A: 0.130 D_B: 0.198 G_B: 0.260 cycle_B: 0.262 idt_B: 0.073 
(epoch: 48, iters: 500, time: 5.319, data: 20.408) D_A: 0.412 G_A: 0.260 cycle_A: 0.152 idt_A: 0.068 D_B: 0.325 G_B: 0.051 cycle_B: 0.171 idt_B: 0.061 
(epoch: 49, iters: 500, time: 5.246, data: 26.395) D_A: 0.268 G_A: 0.238 cycle_A: 0.242 idt_A: 0.190 D_B: 0.241 G_B: 0.525 cycle_B: 0.379 idt_B: 0.073 
(epoch: 50, iters: 500, time: 5.191, data: 4.203) D_A: 0.335 G_A: 0.121 cycle_A: 0.140 idt_A: 0.082 D_B: 0.287 G_B: 0.094 cycle_B: 0.153 idt_B: 0.056 
(epoch: 51, iters: 500, time: 5.295, data: 27.158) D_A: 0.215 G_A: 0.252 cycle_A: 0.203 idt_A: 0.062 D_B: 0.363 G_B: 0.056 cycle_B: 0.144 idt_B: 0.082 
(epoch: 52, iters: 500, time: 5.129, data: 20.969) D_A: 0.198 G_A: 0.236 cycle_A: 0.182 idt_A: 0.084 D_B: 0.206 G_B: 0.283 cycle_B: 0.155 idt_B: 0.073 
(epoch: 53, iters: 500, time: 5.179, data: 26.623) D_A: 0.278 G_A: 0.346 cycle_A: 0.196 idt_A: 0.057 D_B: 0.178 G_B: 0.247 cycle_B: 0.134 idt_B: 0.074 
(epoch: 54, iters: 500, time: 5.309, data: 26.597) D_A: 0.324 G_A: 0.212 cycle_A: 0.190 idt_A: 0.061 D_B: 0.194 G_B: 0.564 cycle_B: 0.153 idt_B: 0.135 
(epoch: 55, iters: 500, time: 5.222, data: 15.597) D_A: 0.220 G_A: 0.107 cycle_A: 0.172 idt_A: 0.077 D_B: 0.260 G_B: 0.243 cycle_B: 0.196 idt_B: 0.071 
(epoch: 56, iters: 500, time: 5.160, data: 3.768) D_A: 0.192 G_A: 0.158 cycle_A: 0.161 idt_A: 0.064 D_B: 0.251 G_B: 0.249 cycle_B: 0.141 idt_B: 0.060 
(epoch: 57, iters: 500, time: 5.408, data: 27.445) D_A: 0.264 G_A: 0.225 cycle_A: 0.140 idt_A: 0.044 D_B: 0.253 G_B: 0.246 cycle_B: 0.100 idt_B: 0.054 
(epoch: 58, iters: 500, time: 5.374, data: 3.064) D_A: 0.136 G_A: 0.145 cycle_A: 0.144 idt_A: 0.047 D_B: 0.251 G_B: 0.274 cycle_B: 0.109 idt_B: 0.064 
(epoch: 59, iters: 500, time: 5.380, data: 26.514) D_A: 0.219 G_A: 0.061 cycle_A: 0.207 idt_A: 0.059 D_B: 0.243 G_B: 0.239 cycle_B: 0.122 idt_B: 0.070 
(epoch: 60, iters: 500, time: 5.163, data: 24.227) D_A: 0.230 G_A: 0.228 cycle_A: 0.121 idt_A: 0.095 D_B: 0.163 G_B: 0.265 cycle_B: 0.215 idt_B: 0.052 
(epoch: 61, iters: 500, time: 5.188, data: 21.128) D_A: 0.006 G_A: 0.972 cycle_A: 0.260 idt_A: 0.391 D_B: 0.129 G_B: 0.046 cycle_B: 0.783 idt_B: 0.084 
(epoch: 62, iters: 500, time: 5.261, data: 22.960) D_A: 0.270 G_A: 0.316 cycle_A: 0.189 idt_A: 0.076 D_B: 0.247 G_B: 0.631 cycle_B: 0.181 idt_B: 0.077 
(epoch: 63, iters: 500, time: 6.032, data: 2.799) D_A: 0.276 G_A: 0.390 cycle_A: 0.141 idt_A: 0.057 D_B: 0.235 G_B: 0.323 cycle_B: 0.129 idt_B: 0.062 
(epoch: 64, iters: 500, time: 5.431, data: 28.030) D_A: 0.257 G_A: 0.314 cycle_A: 0.191 idt_A: 0.059 D_B: 0.357 G_B: 0.071 cycle_B: 0.149 idt_B: 0.081 
(epoch: 65, iters: 500, time: 5.113, data: 2.842) D_A: 0.278 G_A: 0.366 cycle_A: 0.196 idt_A: 0.080 D_B: 0.283 G_B: 0.081 cycle_B: 0.200 idt_B: 0.085 
(epoch: 66, iters: 500, time: 5.307, data: 5.997) D_A: 0.302 G_A: 0.476 cycle_A: 0.201 idt_A: 0.115 D_B: 0.338 G_B: 0.080 cycle_B: 0.280 idt_B: 0.078 
(epoch: 67, iters: 500, time: 5.217, data: 25.895) D_A: 0.225 G_A: 0.209 cycle_A: 0.177 idt_A: 0.086 D_B: 0.228 G_B: 0.233 cycle_B: 0.180 idt_B: 0.075 
(epoch: 68, iters: 500, time: 5.206, data: 27.446) D_A: 0.194 G_A: 0.231 cycle_A: 0.181 idt_A: 0.084 D_B: 0.255 G_B: 0.126 cycle_B: 0.191 idt_B: 0.074 
(epoch: 69, iters: 500, time: 5.309, data: 2.672) D_A: 0.321 G_A: 0.102 cycle_A: 0.174 idt_A: 0.079 D_B: 0.242 G_B: 0.095 cycle_B: 0.155 idt_B: 0.069 
